wn spectra line corrected
3.817753999999999905e+03 2.412669000000000064e-01 2.049815469050181027e-01 -9.880909274753377214e-02
3.816789999999999964e+03 2.413230000000000097e-01 2.049145785363589989e-01 -9.870399454309512766e-02
3.815824999999999818e+03 2.413710000000000022e-01 2.048475406984377745e-01 -9.860908999983863943e-02
3.814860999999999876e+03 2.413968999999999976e-01 2.047805723297786151e-01 -9.854218353692233145e-02
3.813896999999999935e+03 2.413900999999999963e-01 2.047136039611195113e-01 -9.851666680433562862e-02
3.812931999999999789e+03 2.413452000000000097e-01 2.046465661231982869e-01 -9.853934450514045817e-02
3.811967999999999847e+03 2.412624999999999909e-01 2.045795977545391831e-01 -9.860990750511711145e-02
3.811003999999999905e+03 2.411474000000000117e-01 2.045126293858800792e-01 -9.872148022672927459e-02
3.810039000000000215e+03 2.410081000000000029e-01 2.044455915479588548e-01 -9.886364021506512112e-02
3.809074999999999818e+03 2.408550000000000135e-01 2.043786231792996955e-01 -9.902328490424161522e-02
3.808110999999999876e+03 2.406978999999999924e-01 2.043116548106405916e-01 -9.918796515869583719e-02
3.807146000000000186e+03 2.405462999999999907e-01 2.042446169727194227e-01 -9.934561172199242451e-02
3.806181999999999789e+03 2.404081000000000135e-01 2.041776486040602634e-01 -9.948628896173025704e-02
3.805217999999999847e+03 2.402894999999999892e-01 2.041106802354011041e-01 -9.960210774949049273e-02
3.804253000000000156e+03 2.401957000000000120e-01 2.040436423974799351e-01 -9.968644552293443040e-02
3.803289000000000215e+03 2.401303999999999939e-01 2.039766740288207758e-01 -9.973468696574189218e-02
3.802324999999999818e+03 2.400959000000000010e-01 2.039097056601616720e-01 -9.974388296533182041e-02
3.801360000000000127e+03 2.400915999999999884e-01 2.038426678222404476e-01 -9.971475769693209645e-02
3.800396000000000186e+03 2.401131999999999989e-01 2.037756994535813437e-01 -9.965282960375931864e-02
3.799431999999999789e+03 2.401535999999999949e-01 2.037087310849221844e-01 -9.956705641512608729e-02
3.798467000000000098e+03 2.402034999999999865e-01 2.036416932470009600e-01 -9.946918246120081686e-02
3.797503000000000156e+03 2.402544000000000068e-01 2.035747248783418561e-01 -9.937004650128102023e-02
3.796539000000000215e+03 2.402994999999999992e-01 2.035077565096827523e-01 -9.927822615880246837e-02
3.795574000000000069e+03 2.403331999999999968e-01 2.034407186717615279e-01 -9.920077889285898454e-02
3.794610000000000127e+03 2.403521000000000130e-01 2.033737503031024241e-01 -9.914208350931713598e-02
3.793646000000000186e+03 2.403521999999999881e-01 2.033067819344432647e-01 -9.910717078661968049e-02
3.792681000000000040e+03 2.403299999999999881e-01 2.032397440965220403e-01 -9.910043802582041428e-02
3.791717000000000098e+03 2.402823000000000042e-01 2.031727757278629365e-01 -9.912601088802219795e-02
3.790753000000000156e+03 2.402074999999999905e-01 2.031058073592038327e-01 -9.918587998493363922e-02
3.789788000000000011e+03 2.401061999999999919e-01 2.030387695212826082e-01 -9.927924906827517715e-02
3.788824000000000069e+03 2.399835999999999914e-01 2.029718011526234489e-01 -9.939960375008578819e-02
3.787860000000000127e+03 2.398492000000000124e-01 2.029048327839643451e-01 -9.953487422321602440e-02
3.786896000000000186e+03 2.397157000000000038e-01 2.028378644153052413e-01 -9.966897345295649968e-02
3.785931000000000040e+03 2.395973000000000130e-01 2.027708265773839613e-01 -9.978387800067028968e-02
3.784967000000000098e+03 2.395054000000000072e-01 2.027038582087248575e-01 -9.986522022452096192e-02
3.784003000000000156e+03 2.394464000000000037e-01 2.026368898400657537e-01 -9.990485694429662722e-02
3.783038000000000011e+03 2.394197000000000131e-01 2.025698520021445292e-01 -9.990351171974472255e-02
3.782074000000000069e+03 2.394190999999999958e-01 2.025028836334854254e-01 -9.986911094677103362e-02
3.781110000000000127e+03 2.394347000000000003e-01 2.024359152648262661e-01 -9.981415848701746807e-02
3.780144999999999982e+03 2.394542000000000059e-01 2.023688774269050417e-01 -9.975419814211128333e-02
3.779181000000000040e+03 2.394661999999999902e-01 2.023019090582459378e-01 -9.970374331968556714e-02
3.778217000000000098e+03 2.394612999999999881e-01 2.022349406895868340e-01 -9.967466443637611195e-02
3.777251999999999953e+03 2.394324999999999926e-01 2.021679028516656096e-01 -9.967579170970151947e-02
3.776288000000000011e+03 2.393761000000000083e-01 2.021009344830064502e-01 -9.971188518518295241e-02
3.775324000000000069e+03 2.392920000000000047e-01 2.020339661143473464e-01 -9.978303491276194204e-02
3.774358999999999924e+03 2.391835999999999962e-01 2.019669282764261220e-01 -9.988489737805131274e-02
3.773394999999999982e+03 2.390575000000000061e-01 2.018999599077669627e-01 -1.000091858557802804e-01
3.772431000000000040e+03 2.389246999999999899e-01 2.018329915391079143e-01 -1.001419299770321958e-01
3.771465999999999894e+03 2.387971999999999873e-01 2.017659537011866344e-01 -1.002678925476779837e-01
3.770501999999999953e+03 2.386861000000000121e-01 2.016989853325275306e-01 -1.003730869064034803e-01
3.769538000000000011e+03 2.385982000000000103e-01 2.016320169638684268e-01 -1.004488627088244851e-01
3.768572999999999865e+03 2.385332000000000008e-01 2.015649791259472023e-01 -1.004955630200795452e-01
3.767608999999999924e+03 2.384842000000000073e-01 2.014980107572880985e-01 -1.005220018948559668e-01
3.766644999999999982e+03 2.384410999999999892e-01 2.014310423886289392e-01 -1.005409360480105097e-01
3.765679999999999836e+03 2.383945000000000092e-01 2.013640045507077148e-01 -1.005642353778814918e-01
3.764715999999999894e+03 2.383386999999999867e-01 2.012970361820486109e-01 -1.005991940987463751e-01
3.763751999999999953e+03 2.382719000000000087e-01 2.012300678133894516e-01 -1.006480552544136292e-01
3.762786999999999807e+03 2.381957000000000102e-01 2.011630299754682272e-01 -1.007087549939282012e-01
3.761822999999999865e+03 2.381131999999999971e-01 2.010960616068091233e-01 -1.007774408042449721e-01
3.760858999999999924e+03 2.380272999999999972e-01 2.010290932381500195e-01 -1.008504021624513913e-01
3.759893999999999778e+03 2.379391999999999896e-01 2.009620554002287951e-01 -1.009260817986682157e-01
3.758929999999999836e+03 2.378467999999999971e-01 2.008950870315696358e-01 -1.010072142115771843e-01
3.757965999999999894e+03 2.377444999999999975e-01 2.008281186629105319e-01 -1.011008556940775072e-01
3.757001999999999953e+03 2.376250000000000029e-01 2.007611502942514281e-01 -1.012162531243881725e-01
3.756036999999999807e+03 2.374809999999999977e-01 2.006941124563302037e-01 -1.013626160160580048e-01
3.755072999999999865e+03 2.373099999999999932e-01 2.006271440876710999e-01 -1.015431858051594749e-01
3.754108999999999924e+03 2.371161999999999992e-01 2.005601757190119405e-01 -1.017526050376910407e-01
3.753143999999999778e+03 2.369127000000000038e-01 2.004931378810907161e-01 -1.019742425388321660e-01
3.752179999999999836e+03 2.367198000000000080e-01 2.004261695124316123e-01 -1.021824592782827335e-01
3.751215999999999894e+03 2.365586000000000078e-01 2.003592011437724529e-01 -1.023504905484341476e-01
3.750251000000000204e+03 2.364431999999999923e-01 2.002921633058512840e-01 -1.024604383816365705e-01
3.749286999999999807e+03 2.363771000000000067e-01 2.002251949371921247e-01 -1.025079444288152508e-01
3.748322999999999865e+03 2.363550000000000095e-01 2.001582265685330209e-01 -1.024996846502438941e-01
3.747358000000000175e+03 2.363718999999999959e-01 2.000911887306117964e-01 -1.024419548679362663e-01
3.746393999999999778e+03 2.364274000000000098e-01 2.000242203619526371e-01 -1.023353370402043938e-01
3.745429999999999836e+03 2.365221000000000129e-01 1.999572519932935333e-01 -1.021790335258253024e-01
3.744465000000000146e+03 2.366512000000000060e-01 1.998902141553723644e-01 -1.019790867105003496e-01
3.743501000000000204e+03 2.367983999999999922e-01 1.998232457867132605e-01 -1.017562192076855443e-01
3.742536999999999807e+03 2.369381000000000126e-01 1.997562774180541012e-01 -1.015428207049107745e-01
3.741572000000000116e+03 2.370448000000000000e-01 1.996892395801328768e-01 -1.013711540905753716e-01
3.740608000000000175e+03 2.371005999999999947e-01 1.996222712114737730e-01 -1.012639688855351411e-01
3.739643999999999778e+03 2.370999000000000023e-01 1.995553028428146136e-01 -1.012283207672090568e-01
3.738679000000000087e+03 2.370490000000000097e-01 1.994882650048934447e-01 -1.012561916052576033e-01
3.737715000000000146e+03 2.369639000000000051e-01 1.994212966362342854e-01 -1.013273901324892590e-01
3.736751000000000204e+03 2.368670999999999971e-01 1.993543282675751815e-01 -1.014133777814759385e-01
3.735786000000000058e+03 2.367819999999999925e-01 1.992872904296539571e-01 -1.014844758291416349e-01
3.734822000000000116e+03 2.367240999999999929e-01 1.992203220609947978e-01 -1.015211265504837312e-01
3.733858000000000175e+03 2.366959999999999897e-01 1.991533536923356940e-01 -1.015199985242548203e-01
3.732893000000000029e+03 2.366881000000000124e-01 1.990863158544144695e-01 -1.014932138865275862e-01
3.731929000000000087e+03 2.366853999999999902e-01 1.990193474857553657e-01 -1.014598493238806909e-01
3.730965000000000146e+03 2.366750999999999994e-01 1.989523791170962619e-01 -1.014360804308385294e-01
3.730000000000000000e+03 2.366505999999999887e-01 1.988853412791749820e-01 -1.014302291593515426e-01
3.729036000000000058e+03 2.366109000000000129e-01 1.988183729105158781e-01 -1.014436386513145744e-01
3.728072000000000116e+03 2.365606000000000098e-01 1.987514045418567743e-01 -1.014704438998215441e-01
3.727108000000000175e+03 2.365087999999999913e-01 1.986844361731976150e-01 -1.014991179744901550e-01
3.726143000000000029e+03 2.364682999999999924e-01 1.986173983352764461e-01 -1.015134088021645564e-01
3.725179000000000087e+03 2.364523000000000041e-01 1.985504299666172867e-01 -1.014966727056923618e-01
